1	10.8
2	10.8
3	10.8
4	10.8
5	10.8
6	10.8
7	10.8
8	10.8
9	10.8
10	10.8
11	10.8
12	10.8
13	10.8
14	10.8
15	10.8
16	10.8
17	10.8
18	10.8
19	7.2
20	7.2
21	7.2
22	7.2
23	7.2
24	7.2
25	7.2
26	7.2
27	7.2
28	7.2
29	7.2
30	7.2
31	7.2
32	7.2
33	3.6
34	3.6
35	3.6
36	3.6
37	3.6
38	3.6
39	3.6
40	3.6
41	3.6
42	3.6
43	3.6
44	3.6
45	3.6
46	3.6
47	5.1
48	5.1
49	5.1
50	5.1
51	5.1
52	5.1
53	5.1
54	5.1
55	5.1
56	5.1
57	5.1
58	5.1
59	5.1
60	5.1
61	5.1
62	5.1
63	7.3
64	7.3
65	7.3
66	7.3
67	7.3
68	7.3
69	7.3
70	7.3
71	7.3
72	7.3
73	7.3
74	7.3
75	7.3
76	7.3
77	7.3
78	7.3
79	7.3
80	7.8
81	7.8
82	7.8
83	7.8
84	7.8
85	7.8
86	7.8
87	7.8
88	7.8
89	7.8
90	7.8
91	7.8
92	7.8
93	7.8
94	7.8
95	7.8
96	7.8
97	7.8
98	7.8
99	7.8
100	7.8
101	7.8
102	7.8
103	7.8
104	7.8
105	7.8
106	6.02
107	6.02
108	6.02
109	6.02
110	6.02
111	6.02
112	6.02
113	6.02
114	6.02
115	6.02
116	6.02
117	6.02
118	6.02
119	6.02
120	6.02
121	6.02
122	6.02
123	6.02
124	6.02
125	6.02
126	6.02
127	6.02
128	6.02
129	6.02
